Price,Close,High,Low,Open,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2020-01-01,672.2161254882812,680.0087898882745,670.3904712564104,675.9566091562889,14004468
2020-01-02,683.6602783203125,686.1762083080744,673.2849207275859,673.2849207275859,17710316
2020-01-03,684.4840698242188,686.4878962665452,678.1831277621862,682.6360622006584,20984698
2020-01-06,668.6093139648438,680.3650438391912,667.0507691289934,676.8472602327319,24519177
2020-01-07,678.8955688476562,683.3039746836643,673.9527657511211,676.4018734988883,16683622
2020-01-08,673.7969970703125,683.2817317108661,672.3943304886236,674.6207976476823,16047902
2020-01-09,689.3153686523438,690.2059315601734,681.8566962238242,685.1296040852894,14982742
2020-01-10,689.1595458984375,693.7460641432477,685.5971750800793,691.052021954991,12478359
2020-01-13,687.4006958007812,694.0800969009713,685.0406443123888,688.0018555733295,18282382
2020-01-14,681.0330200195312,690.2060574437152,677.6710552541097,685.7531231921615,15816535
2020-01-15,678.5616455078125,685.708622508407,676.068009361063,683.9052024938248,15817859
2020-01-16,684.8179321289062,687.2448055274269,680.4095262908653,680.8548672498658,12847975
2020-01-17,704.01025390625,705.7691458267952,691.6310696018056,691.764654072348,29463471
2020-01-20,682.3466796875,716.4784927540825,679.6971651864098,716.4784927540825,32545850
2020-01-21,683.036865234375,688.3581283514012,677.73783646965,680.6768135829059,18922720
2020-01-22,682.7919921875,688.7589438110633,681.790078890447,687.5343897202368,10322817
2020-01-23,679.8975219726562,686.6214514994721,677.1589513580537,684.1945779592724,11247739
2020-01-24,677.5374755859375,684.1278207028573,676.201571520967,679.9642896946181,14628445
2020-01-27,670.8580322265625,678.8288097703885,670.1678160991427,674.5762817936037,13387750
2020-01-28,655.36181640625,672.3943409712025,651.7326826089246,671.7708873528463,24532236
2020-01-29,658.96875,665.4477454950623,651.9330633649719,656.385997983268,24746565
2020-01-30,642.8936157226562,658.9019342560167,641.2237800875757,658.5902371528151,22402689
2020-01-31,628.599609375,647.1238564671794,626.6180767993984,647.0125063572486,34750310
2020-02-03,616.9551391601562,623.3896651574961,606.9583015760081,610.0085691432375,30712290
2020-02-04,635.1676635742188,637.8839401729988,622.4322559797637,623.4118752792756,25383901
2020-02-05,645.0086669921875,646.9234370233874,636.9043647870463,638.9526598272524,18472100
2020-02-06,649.1498413085938,653.2465498928482,641.2681806313898,647.5022998052495,15538577
2020-02-07,638.3961181640625,646.7231209827357,636.0137726868787,646.121961162775,12209212
2020-02-10,639.264404296875,643.6728102657878,628.065247040691,635.8801458287573,15142476
2020-02-11,646.9013061523438,652.8904923206876,643.472518918896,644.518960407984,13999816
2020-02-12,654.7161254882812,656.742245701073,647.9031394730254,648.4152429768247,13533565
2020-02-13,656.4305419921875,658.0336151395259,651.2873910883294,658.0336151395259,13565659
2020-02-14,662.419677734375,668.5869752575289,647.0569900773629,657.8108654922579,21227841
2020-02-17,658.25634765625,670.6800622415652,656.4974554349953,663.0432739611045,13149130
2020-02-18,653.4246826171875,657.2096942768698,648.9717487058438,657.2096942768698,11127161
2020-02-19,669.6334228515625,670.8134485862718,656.8534867255756,658.7459628812005,14084409
2020-02-20,661.6849365234375,671.5036613641485,660.7275515499585,666.605445844099,16892268
2020-02-24,643.4278564453125,657.6995152268572,641.0232768478887,654.4711351131652,21370214
2020-02-25,630.71484375,646.3001152119884,627.864922735704,646.3001152119884,27745062
2020-02-26,619.849609375,628.911356956024,617.779020325235,627.8649155292255,29362748
2020-02-27,617.2890625,620.6510267614351,609.6076896449267,618.0682753445939,25054993
2020-02-28,591.6401977539062,604.2643163833105,590.0148903377343,603.3291656588368,39315769
2020-03-02,586.0740356445312,609.6077893226085,579.3723403742132,603.4181975497225,29500495
2020-03-03,597.96337890625,602.8838887991839,588.6789907987993,592.1077777316948,27398798
2020-03-04,596.5606689453125,602.8393168736188,582.4003001293128,602.0378101189941,22105261
2020-03-05,583.8475952148438,604.6873667976507,581.5543059975552,602.1269086434213,30510390
2020-03-06,565.9689331054688,573.6057788366949,552.654658716733,565.5236515774449,33734039
2020-03-09,496.1246032714844,552.610174773984,487.59722352706973,552.187127563448,88187018
2020-03-11,513.669189453125,524.7569973633897,493.3860202311153,493.3860202311153,59578576
2020-03-12,473.3477478027344,490.26892105164063,466.98004375854214,483.14423842846696,55970485
2020-03-13,492.1837158203125,507.6354013912499,419.64530200918597,444.40363928088584,73297403
2020-03-16,452.2853698730469,480.78419157795764,447.5207086747309,472.2568121164352,38482258
2020-03-17,448.85662841796875,472.0119237181846,446.7192174587202,466.3344054216944,45445979
2020-03-18,431.2674560546875,461.280292373532,427.9277554968568,456.5601596607462,44730415
2020-03-19,408.64654541015625,430.5995508438921,397.29153849959346,409.715250893795,61404010
2020-03-20,453.2872314453125,460.83496091441367,414.12359413052815,418.3538872632153,63360475
2020-03-23,393.662353515625,423.02950129195114,389.9218699453738,407.9785404343475,40670949
2020-03-24,420.0906066894531,431.9354232678665,398.8946097412174,414.1236553813101,45734887
2020-03-25,481.9196472167969,512.7785178891949,428.9296612692312,429.17456609975056,73130298
2020-03-26,474.7726745605469,497.3491012446338,464.1524132137663,487.95339378494543,45744488
2020-03-27,474.5055236816406,493.0742985498193,465.86682419167437,487.59718710077345,41657940
2020-03-30,458.8534240722656,478.6022243792753,454.2001132600208,463.37318015277566,30229866
2020-03-31,495.94647216796875,503.0934193486525,466.668378147016,478.2237612689132,44292810
2020-04-01,481.1181945800781,500.7779105092495,465.4215737109047,499.7314691179713,41597459
2020-04-03,479.7822570800781,505.1640473665368,470.36428521360847,505.1640473665368,41367807
2020-04-07,537.0694580078125,540.58724198078,489.8237144682163,490.7588355221403,54373624
2020-04-08,530.8575439453125,547.2666748233642,516.5413553079427,525.4472243442474,49880330
2020-04-09,543.2366943359375,548.9587106749909,531.2360300150857,540.5871800325931,33032857
2020-04-13,529.5216674804688,541.0325221376103,525.4471928092958,536.1120125498173,23673784
2020-04-15,512.0216064453125,550.3837133914021,508.97133852649563,533.0394909756521,35321842
2020-04-16,520.1259765625,528.7646769192855,509.8619687316648,512.0216140957893,37455706
2020-04-17,545.0401611328125,547.7119694676354,531.0801974114287,541.4778491032873,33269335
2020-04-20,553.85693359375,559.7347681895708,535.2436321732976,545.9306852340615,36030932
2020-04-21,550.9848022460938,557.5083250081677,518.3224819342147,538.8059664932713,61371628
2020-04-22,607.2032470703125,616.6880417343276,578.8825664491623,587.7884356237253,142683366
2020-04-23,610.4539184570312,617.1110859522549,602.6167250854138,608.8731391707544,65464502
2020-04-24,630.98193359375,665.6926093550011,599.9003914322975,601.2140016546114,134986308
2020-04-27,636.659423828125,656.8089776563307,633.6536843523593,638.5519000387314,58482901
2020-04-28,635.947021484375,648.1035053145215,619.9164097345322,645.6766910891598,78453401
2020-04-29,635.4125366210938,647.3019093275574,632.3177410324345,643.405607041887,37494672
2020-04-30,652.8013305664062,665.6926172797448,640.3553848329962,647.4355395070829,71345899
2020-05-04,639.0863037109375,652.3560500195231,631.1822890196224,641.2237145072914,53456868
2020-05-05,650.4190063476562,658.5901902105282,644.4298209519568,647.3242698899517,44903763
2020-05-06,650.463623046875,661.2397341507669,643.6728711176166,651.9108178555344,40489094
2020-05-07,671.0361328125,674.0196380436263,643.4501981639638,647.9031324834183,50026966
2020-05-08,695.4605102539062,703.5202838378564,684.4617003890888,687.9795431758226,84262770
2020-05-11,702.1400756835938,719.1503087464584,700.1362489931954,703.5649768322162,67085063
2020-05-12,658.7014770507812,698.3772514173569,652.3560664564766,696.79641276918,100683202
2020-05-13,672.677001953125,686.4096865474885,653.5950534044931,686.4096865474885,66430125
2020-05-14,645.481201171875,672.789261174422,642.8290714721867,660.3376694799763,49266771
2020-05-15,656.0224609375,659.3039301915819,636.1089238922658,649.0999085460102,62152260
2020-05-18,647.6390380859375,666.1815376925038,641.9077470485184,660.7873884161261,62796089
2020-05-19,633.3218383789062,657.0562928652207,630.7821287465479,654.943554079763,42315854
2020-05-20,644.4699096679688,650.3810366625504,626.1746060014038,633.8163858969135,55320985
2020-05-21,647.86376953125,656.9439458804737,640.5591310175457,645.054274887475,39167981
2020-05-22,643.50341796875,655.393088211482,641.2333740246893,652.6061253460508,37828973
2020-05-26,640.132080078125,651.6621368125705,636.6483020759156,650.9653812121286,33216635
2020-05-27,649.796630859375,653.5950188666403,634.7153801347918,643.2561648384756,35667956
2020-05-28,661.7987060546875,665.1700639694456,651.3474905739236,654.0445650157022,40126278
2020-05-29,658.2701416015625,661.6864443325129,652.9883526895542,659.888374618816,40022527
2020-06-01,683.42041015625,691.5116927649323,663.4619289082036,665.282470467664,39943702
2020-06-02,690.3204956054688,692.2534575560194,683.6227235911691,685.9602437650542,22153960
2020-06-03,692.9951782226562,701.2437669142711,689.264146584744,694.5010503906053,25381289
2020-06-04,710.14404296875,714.5043536279225,692.7028597821947,694.0513671813276,34202350
2020-06-05,710.9981689453125,727.3155677405333,707.4020299835134,716.976712812966,33076685
2020-06-08,705.5140991210938,727.4954324920736,703.4913080333477,727.4954324920736,31414953
2020-06-09,690.9722900390625,711.5825840206448,689.1068040465735,701.3785617206731,25857161
2020-06-10,706.7053833007812,710.0317972109347,692.2759415871488,693.6469213591369,22132647
2020-06-11,691.219482421875,704.8172743086072,688.2077385143969,703.9407414982666,20385805
2020-06-12,714.1897583007812,716.0777164159133,672.9242267053721,674.2727936948124,38548899
2020-06-15,725.7647705078125,731.3387563203479,701.7381741898191,703.4912994111404,53107403
2020-06-16,727.1807861328125,741.0483050918923,712.6164520349436,738.5535392456209,51187003
2020-06-17,726.1243896484375,735.1596222116743,720.1683177338406,722.9328087814987,41782053
2020-06-18,744.3521728515625,748.4427585087822,721.74156125064,722.3709004133316,40471557
2020-06-19,790.8770141601562,804.0927203501327,747.0942467519249,750.6903261392612,105804173
2020-06-22,784.9208984375,811.015227066077,779.9087764994645,797.1701824968853,60198705
2020-06-23,773.5706787109375,792.83240486235,771.4129953643138,786.6515522559022,37962078
